id,question,category,expected_concepts,role,difficulty
behavioral_resolve_a_conflict_describe,Describe a time you had to resolve a conflict.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,easy
behavioral_lead_a_team_describe,Describe a time you had to lead a team.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,medium
behavioral_meet_a_deadline_describe,Describe a time you had to meet a deadline.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,easy
behavioral_handle_criticism_describe,Describe a time you had to handle criticism.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,medium
behavioral_adapt_to_change_describe,Describe a time you had to adapt to change.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,easy
behavioral_make_a_tough_decision_describe,Describe a time you had to make a tough decision.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,medium
behavioral_work_under_pressure_describe,Describe a time you had to work under pressure.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,easy
behavioral_manage_multiple_tasks_describe,Describe a time you had to manage multiple tasks.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,hard
behavioral_fail_at_something_describe,Describe a time you had to fail at something.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,medium
behavioral_learn_a_new_skill_quickly_describe,Describe a time you had to learn a new skill quickly.,behavioral,specific situation|personal responsibility|actions taken|measurable result|lesson learned,HR,easy
behavioral_resolve_a_conflict_handle,How do you typically handle situations where you need to resolve a conflict?,behavioral,general approach|consistent strategy|example|outcome,HR,easy
behavioral_lead_a_team_handle,How do you typically handle situations where you need to lead a team?,behavioral,general approach|consistent strategy|example|outcome,HR,medium
behavioral_meet_a_deadline_handle,How do you typically handle situations where you need to meet a deadline?,behavioral,general approach|consistent strategy|example|outcome,HR,hard
behavioral_handle_criticism_handle,How do you typically handle situations where you need to handle criticism?,behavioral,general approach|consistent strategy|example|outcome,HR,hard
behavioral_adapt_to_change_handle,How do you typically handle situations where you need to adapt to change?,behavioral,general approach|consistent strategy|example|outcome,HR,easy
behavioral_make_a_tough_decision_handle,How do you typically handle situations where you need to make a tough decision?,behavioral,general approach|consistent strategy|example|outcome,HR,hard
behavioral_work_under_pressure_handle,How do you typically handle situations where you need to work under pressure?,behavioral,general approach|consistent strategy|example|outcome,HR,medium
behavioral_manage_multiple_tasks_handle,How do you typically handle situations where you need to manage multiple tasks?,behavioral,general approach|consistent strategy|example|outcome,HR,medium
behavioral_fail_at_something_handle,How do you typically handle situations where you need to fail at something?,behavioral,general approach|consistent strategy|example|outcome,HR,easy
behavioral_learn_a_new_skill_quickly_handle,How do you typically handle situations where you need to learn a new skill quickly?,behavioral,general approach|consistent strategy|example|outcome,HR,easy
behavioral_resolve_a_conflict_example,Give an example of a situation where you resolve a conflict.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_lead_a_team_example,Give an example of a situation where you lead a team.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_meet_a_deadline_example,Give an example of a situation where you meet a deadline.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_handle_criticism_example,Give an example of a situation where you handle criticism.,behavioral,specific situation|actions taken|result,HR,hard
behavioral_adapt_to_change_example,Give an example of a situation where you adapt to change.,behavioral,specific situation|actions taken|result,HR,easy
behavioral_make_a_tough_decision_example,Give an example of a situation where you make a tough decision.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_work_under_pressure_example,Give an example of a situation where you work under pressure.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_manage_multiple_tasks_example,Give an example of a situation where you manage multiple tasks.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_fail_at_something_example,Give an example of a situation where you fail at something.,behavioral,specific situation|actions taken|result,HR,hard
behavioral_learn_a_new_skill_quickly_example,Give an example of a situation where you learn a new skill quickly.,behavioral,specific situation|actions taken|result,HR,medium
behavioral_resolve_a_conflict_steps,What steps do you take to resolve a conflict?,behavioral,step-by-step process|reasoning|outcome,HR,hard
behavioral_lead_a_team_steps,What steps do you take to lead a team?,behavioral,step-by-step process|reasoning|outcome,HR,medium
behavioral_meet_a_deadline_steps,What steps do you take to meet a deadline?,behavioral,step-by-step process|reasoning|outcome,HR,hard
behavioral_handle_criticism_steps,What steps do you take to handle criticism?,behavioral,step-by-step process|reasoning|outcome,HR,hard
behavioral_adapt_to_change_steps,What steps do you take to adapt to change?,behavioral,step-by-step process|reasoning|outcome,HR,medium
behavioral_make_a_tough_decision_steps,What steps do you take to make a tough decision?,behavioral,step-by-step process|reasoning|outcome,HR,medium
behavioral_work_under_pressure_steps,What steps do you take to work under pressure?,behavioral,step-by-step process|reasoning|outcome,HR,hard
behavioral_manage_multiple_tasks_steps,What steps do you take to manage multiple tasks?,behavioral,step-by-step process|reasoning|outcome,HR,easy
behavioral_fail_at_something_steps,What steps do you take to fail at something?,behavioral,step-by-step process|reasoning|outcome,HR,medium
behavioral_learn_a_new_skill_quickly_steps,What steps do you take to learn a new skill quickly?,behavioral,step-by-step process|reasoning|outcome,HR,easy
behavioral_resolve_a_conflict_failed,Tell me about a time when you failed to resolve a conflict.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,hard
behavioral_lead_a_team_failed,Tell me about a time when you failed to lead a team.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,easy
behavioral_meet_a_deadline_failed,Tell me about a time when you failed to meet a deadline.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,easy
behavioral_handle_criticism_failed,Tell me about a time when you failed to handle criticism.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,hard
behavioral_adapt_to_change_failed,Tell me about a time when you failed to adapt to change.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,medium
behavioral_make_a_tough_decision_failed,Tell me about a time when you failed to make a tough decision.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,easy
